,text,author
3324,"The management believed that it would contribute to the person""s transformation. Thank you for your cooperation. '""I thought he""ll never recover,"" Mito sighed. She clapped her hands and Yuta was dried up, looking good as ever. ""But, what will we do while waiting for the product to subdue?"" Nina asked. They thought for a while. ""I really can""t understand what you are talking about,"" Yuta muttered.Maya smirked. ""Oh, do you think I""ll turn Yuta into a gay without any reason?"" she asked innocently. They gulped. ""Sebastian, could you please ready all we need in a minute?"" Maya instructed. Sebastian nodded and got his wand. ""Wha-what do you mean?"" Mito asked carefully. Maya is planning something and, trust me, it is not good.Maya flipped her hair as a beautiful stage appeared out of nowhere. She pulled Yuta to the backstage. Before the two vanished, she mouthed, ""We are going to have a pictorial."" ------------------------------------------------------------------------------------------------------------------------To Be Continued...So what do you think? Please Review!! !This is the first part of Maya""s Revenge. The second part would be coming soon.I hope you liked this chapter I really enjoyed writing this chappie... hehehe! If this is corny... well.. (runs away) I must hide! (1) Jusenkyo and other references from Ranma 1/2 - I don""t own them. Konichiwa!Gosh! This story is already nine chapters! (But still a little bit far from the ending)I""m so tired because of school. RWE and Research are boring while Physics is hard. My schedule is very crowded with so many requirements to find and new subjects to love... ARGH! It""s only the first week of classes! Can""t they give a little consideration!Phew. I let all of that out.Anyway, I""m still happy because our teacher in Biology is not the ultimate terror! Rejoice! (Dances in joy) Now, to the reviews!To psychedelic aya: I really like Ranma 1/2! (Giggles) especially Ryoga and his VERY poor sense of direction.To fallenmad: Yeah, a VERY CONVINIENT pictorial. You""ll know why in the chapters to come.To Maniac Witchies: Actually, I had this chapter originally joined with chapter 8. I just divided it because it would be too long. I just don""t have time to upload. Pasukan na! (sniff) Gusto ko bumalik sa elementary!To white tiger: Yeah, weird potion courtesy of watching too much Ranma 1/2.To Anime god: Glad you like it! Thanks!To Jishu26: Cinderella... hmm... quite so. Tsujiai following gay-type Yuta""s footsteps...? OMG. I can""t imagine him in gay-type Yuta""s clothes... Thanks for the review! And believe me, every review inspires me ==To Millie: Glad you like it!Okay, now to chapter 9Disclaimer: Ultra Maniac not mine, you know that.Chapter 9 Maya""s Revenge 2Ayu was walking to the dinning room with a cart full of every sweet imaginable (take your pick.) She was quite curious because the order came directly from Maya who, by the way, doesn""t have a sweet tooth as mush as she was concerned. ""I wonder what""s with the snickers the other cooks gave me.."" she muttered.",560480
316,"The creature took a long glance at Sora before it jumped back, clapping its paws and wagging its fire-lit tail. It was dancing and clapping at the same time, cheering ""MOOMBA!! MOOMBA!!"" over and over again. Sora would have asked him nicely to ""cut it out"" when suddenly the bushes around them erupted, revealing more and more creatures that looked similarly like the first one. The first one, recognizable due to be the only creature with a tail that was lit by fire, led everyone to a bacchanal revelry. Sora could only hear the same word over and over again, but he could feel...ecstasy and rapture in the creature""s voices. The three-minute fiesta finally ended with a pound on the ground and a quick somersault in the air. Everyone regarded Sora quietly, though some of them had a happy twinkle in their eyes. Their mouths weren""t visible, as they were overlapped by thick fur in their short snouts, so Sora couldn""t know if they were smiling to see him...or smiling because they had food served before them. ""MOOMBA!!"" The first one cried, obviously happy at Sora. Sora twitched an eyebrow, waiting for more. But there was an expectant look in the creature""s eyes. And it took a minute of silence before Sora realized he was supposed to reply in turn. ""Uhh...M-Moomba?"" The whole forest suddenly exploded into full gear! Sora swore their shouts and cries and tears would be heard miles around. The lot of the creatures was hugging each other, crying into each other""s shoulders, jumping lithely and rolling on the ground, playing with each other, knuckling each other, dancing around. It was very obvious that their source of joy was he, Sora. The cheers quieted down once more, the forest was as silent as the dead of the night. The first creature, the one with the flame tail that provided the sole light in the dark forest, swished its tail in a pattern before him. A circle. A square. A diamond. A circle inside the diamond. The rough drawing of a flame inside the circle. And the air exploded in the pattern, and a miniature fireball erupted and hung itself mid-air. The light was strong enough to reveal to Sora there were at least thirty of them surrounding them and it. ""Moombas are happy! You have finally returned!"" The creature spoke quite in a rascal-tone. His features were enraptured with joy, but serious at the same time. ""We have waited for so long, everyone of us waited loyally. We did no wrong! We did no wrong!"" Sora stared. Surprised. Stared. ""...w-what?"" ""You are master above us!"" Sora finally had the name for them, moombas. Figures they kept saying it over and over. ""We, who were without form for so long, finally took shape when master has returned!"" Sora was quick to reject this implication. ""NO! It must be a mistake! I""m not from here! I""m not from this world!"" Moomba leader cocked his head sideways. ""Mistake? NO NO NO NO NO!"" He shook his head violently, its spiky mane following suit. ""We are wise! We do not make mistakes! We trust! We can be fooled! But we do not make mistakes! We trust our hearts so!"" ""We are shadows until now.",583064
475,"He didn""t hear the question the first time, but after a few repeats it got through. ""Do you have any tips for us?"" the boy asked. ""Stay alive."" He finished his drink, so he got up to fetch another, switching to whiskey. ""I have plenty of tips. What are you looking for?"" ""What""s the worst thing that could happen to us in there?"" the girl asked. It was the first time she had spoken up since the train. Haymitch watched the amber liquid in the bottle twirl. ""That you""ll die a slow, painful death and no one will even care."" The children accepted his words with sullen silence, but it enraged Effie. She marched over and hissed at him, ""I don""t understand how you can be so angry all the time. We are involved in the most exciting event of the entire year, and you don""t seem to care at all."" ""Well,"" his voice went up an octave, ""I will be sure to practice my curtsy for the Capitol folks."" He lifted the bottle, knowing he would drink it all tonight anyway. ""In a glass, in a glass, do not drink straight from the bottle."" Effie nagged. He laughed at her, but obliged, pouring his booze into a crystal glass. It always seemed a waste of time to him, just meant it would need to be cleaned now, but he really could do without her squawking. A/N. Found out the Finnick won the 65th games, so that would make these the 68. Had to change my plans a little, but it""s all good. They watched rankings together. Effie got more and more excited with every score. She was finally a part of the excitement, she was rooting for her tributes naturally, but the girl from District One was very pretty and the boys from District Three and Four both got 11 rankings. She had enjoyed watching the Hunger Games with her family as a child and she looked around at her new family. Both of the stylists were ancient but still attempted to look young, she kept thinking they were retired (or dead). She realized that District 12 wasn""t just for the new people, but also those on their way out. The tributes seemed anxious, almost like they didn""t want to be here. Effie didn""t understand them at all. They should feel honored to compete; instead they did nothing but flinch and gorge themselves. It was frustrating to her. Haymitch, for once, seemed sober, watching the program with an attentiveness she wasn""t used to from him. When the District Three boy""s score was announced, he grumbled, ""Got a smart one this year."" When they got to District 12, the girl had gotten a three and the boy a four. They were dismal scores, but Effie plastered a smile on her face, ""Well, the scores aren""t that important anyway. Often times the higher scores die quickly."" The tributes said nothing, but shifted at Effie""s words. Haymitch actually agreed with her, ""She""s right. High scores are targeted, low scores get ignored."" He knew that meant there was no chance of sponsors as well, but he kept that to himself. Encouraged, Effie decided to take advantage of Haymitch""s soberness, and asked him to advise the tributes. The stylists left, no longer interested in the conversation, but Effie was nearly bouncing in excitement.",1497577
1391,"Either way, I quickly pulled away from Scott""s side against my better judgment, gave his hand one last gentle squeeze in goodbye, before letting go completely as I turned around to leave. However, before I even got so much as three steps away, I heard HIM speak out once more. ""Butterfly, wait,"" and before I even realized what was happening, I felt his cold clammy arms turn me around, and embrace me in a bone-crushing hug. Part of me really wanted to believe that it was actually him, but my common sense already knew better by this point; especially when I felt his hands roam in a way that I just knew that Stile""s wouldn""t dare too. Practically going stiff in his arms, I simply gave him a quick pat as well, before hurrying to pull away from him as the shivers of revulsion grew even worse inside me; ones, that I""m sure, would have had me vomiting in disgust had I not put a little distance between the two us after that. ""Bye, Stiles. Hopefully I""ll see you tomorrow, if you""re feeling any better by then,"" I mumbled nearly half out of it, as he gave me a patronizing little grin. ""Right,"" he mumbled back, as I noticed his eyes twitch in odd sort of way. Yes, it seemed the Nogitsune was definitely intrigued by something within me, and that alone scared me half to death. Maybe I should have tried harder to remain calm, but like I said before, it was one thing to watch it...it was an entirely different thing to see it actually play out right in front of you. With one last sad and confused little smile thrown his way, I practically sprinted from the room, as I hurried to leave the hospital once and for all. However, if I had been smart enough to turn back around and stand my ground like I""d wanted, I would have seen the surprised looks both boys had worn when they""d gotten a full glimpse of the tattoo curved around the back of my neck. Yet, I don""t think Scott""s reaction would have nearly startled me as much as the Nogitsune""s would have. Why? Because his eyes practically sparkled with pure and utter fascination within that moment, as he slowly realized just what kind of jewel he""d managed to stumble upon. One, which he was certain, he wasn""t about to let out of his sight any time soon. Well, I hope that part was interesting for you...if not, I will totally understand. Like I said in my note above, this character literally gave me chills. However, she was the push I needed to start writing again, so I can""t hate her too much right now. Either way, I""ve already gotten the second part written, but I still need to edit it before posting. I""m not sure when I""ll be able to do that, because I am on a bit of a time crunch with my job here lately, but I""ll try to get it out as soon as I can. Either way, I hope you enjoyed BUTTERFLY so far. Besides, how can you hate sexy Void Stiles. He""s just too damn sexy...even if he""s evil. DAMN YOU DYLAN O""BRIEN FOR NAUGHTY THOUGHTS, BECAUSE OF YOU""RE AMAZING ACTING SKILLS! LOL Anyway, have a nice day ya""ll, and don""t forget to leave a review if you can. I""d appreciate it a lot right now. LOVE YOU ALL LOTS AND LOTS!",806976
111,"My eyes felt strangely misty, and I blinked multiple times before replying. [Aya]: ... thank you. [ZEN]: Of course *smiling emoji* I always love talking to a fellow artist~ [Aya]: I would play for you and the rest, but I cannot. This app... will not let me send video or photo, except for my profile picture. [ZEN]: Huh, weird. Do you know that each of our app""s have different features? Seven made them all a bit unique for us. [Aya]: But I did not get mine from Luciel... [ZEN]: Yeah... you could always call me, and I""ll hear you play over the phone. I blushed. In real life, I blushed. Sure, I""d seen the call feature on the app, but I hadn""t used it these last two days. Luciel had called me once, to check on the app and get more information on Unknown, and I""d missed a call from Yoosung that I was too anxious to reply to. Before I realized what I was saying, I typed back; [Aya]: Sure, I could do that sometime, I guess. [ZEN]: How about now? [Aya]: W-what? He didn""t answer. [Aya]: Hyun! A call screen popped up, hiding the chat from view. I could see his too-handsome face staring up at me, the little dialer ringing away a cute little pre-programmed tone just for him. I dropped my phone and it clattered against the hardwood floor with a resounding thud that somehow had a sense of finality to it. I stared down at it, unblinking, and oh so torn. Do I answer? Zen was practically a stranger. All the RFA were. They""d been nice and understanding so far, and I had to remind myself - again - that the organization was well known, if secretive, and legitimate in its charity work. But this was entirely different. They""d all been ""others"" at this point. With the slight exception of Luciel, I""d never actually spoken to... any of them. To hear someone""s voice is to make them real. More real than anything on a messenger, or still images send over the internet, ever could. Something tugged in my chest, and I fell to my knees, hand outstretched for the phone... The call ended. I""d waited to long. The chatroom replaced it, empty for a long, agonizing minute before anything popped up. [ZEN]: Oh sorry; I was a bit hasty, wasn""t I? ;;; I snatched up the phone and backed out of the chat, hurriedly fumbling with the screen until I found the missed calls. I hit the call-back button. It rang, and rang, and rang... ""... hello?"" I swallowed thickly, ""H-hi..."" His voice was low, manly in a way, but still somehow light with a flirtatious air. Like every sentence held a hidden question or a secret want. ""Ah, English to start with I see... well then..."" Zen paused, ""The course of true love never did run smooth."" The line had me laughing in spite of myself. It was delivered perfectly, smoothly, and with the perfect air only someone who""d played the role before could manage, ""When did you play Lysander?"" ""Ah, you know it!"" He laughed. It was a bit higher than his normal voice. All easy and carefree; I could hear the smile on his face, ""The company did a production of Midsummer""s Night Dream about... oh, a year ago or so.",748687
2243,"The image of Daddy being taken away is going to imprint on this girl""s memory, and Emma is going to feature in her nightmares. Emma tells herself that she""s just doing is necessary. Joran Vander Plaats is a jackass who needs to pay for his crime, and he""s the one ultimately responsible for what is happening. He is the one who needs to bear the blame for traumatizing his child. She turns her head away, wondering why all she can think of is the Hunter in Bambi, and if he ever turned around and saw a fawn standing off in the distance. It""s funny that he""s considered one of the greatest villains of all when he might have simply been trying to put food on the table. The Hunter never gets a chance to explain his side of the story. The Strand is a legacy theater that""s approaching its 100th anniversary. There""s a plaque on the wall in the lobby - decorated in cheap, replicated 1930s décor - that explains the theater was originally built in 1913, right before The Great War, and was one of the first places in Maine to show talkies in 1927. It""s been refurbished twice since then, once in the seventies and again in the nineties. The glitz suits the place, because she knows that all it would take is a couple of good scrapes to unearth the dross that""s underneath. Emma thinks it""s about due for round three with the decorators. It""s the only theater in town, and it shows movies about a month after their initial release date. She""s heard Ruby complain about having to wait so long to see the latest Twilight film, but the next nearest theater is over fifty miles away. If Storybrooke""s residents want to see a movie, they have to see it here. ""If you get the tickets right now, we""ll be able to get the best seats,"" Henry says. ""And popcorn,"" he adds as though it""s an afterthought instead of his primary focus. ""We can dump in M&Ms."" ""M&Ms or popcorn, not both,"" Emma says. ""I had to try,"" he says. ""Popcorn. Can you get the tickets and snacks while I go to the bathroom?"" He doesn""t wait for a response, instead turning and heading off toward the men""s room sign. For a second, she watches him go and wonders if he""s trying to pull something, but decides that Henry is more likely to enlist her as an accomplice. It""s Henry""s sense of entitlement kicking in again. One of the many things Emma doesn""t want to admit to herself is that Henry is exactly the kind of boy she would have hated to be around growing up. It doesn""t take any time at all to purchase the tickets, soda and popcorn from the lone vendor. Henry still isn""t back, so she looks around the lobby for lack of anything better to do. The framed movie posters advertising the future releases from the studios are all for mainstream stuff, and she there""s nothing forthcoming she wants to see. When Emma watches movies, she prefers cynical art house stuff, since mainstream Hollywood just infuriates her. Life is not tied up in neat little packages with pretty ribbons inside two hours. ""Which film are you seeing today?"" a voice asks from one side, and she nearly jumps out of her skin as she spins around.",1112924
127,"Takaharu""s hope would have been that these newbloods would look to him as a mentor, and by seeing his skill, they would be inspired to pursue greater heights of the boxing arts. But as he looked over at the beaten No-Star, the white boxing glove in his nose starting to stain with red, Takaharu began to wonder if perhaps his skill was what just drove the first group of the day away. Then he remembered Gamagoori""s promise of helping him in his goal, if he continued to impress him. Takaharu remembered Sanageyama""s words, that punctuality was important than most people thought. He smiled to himself, and assumed that a time like this, he was probably doing much better than Omiko Hakodate. Everything would be fine, he decided. As far as Takaharu was concerned, the first group of No-Stars just weren""t meant for his club. If the bleeding one woke up, he might very well turn out to be a real boxer and insist they continue training. Takaharu could see the spoils of victory now. Clearly, he was just worrying for no reason. ""You better watch out, Hakodate-san."" he declared to no one in particular, his thoughts drifting as he wondered what Omiko was up to at this very moment... ""So you think you can play tennis? Wrong! Think again!"" Those were the very first words from Omiko Hakodate""s mouth, as she addressed the three dozen No-Star girls that had showed up to the very first Girls"" Tennis Club meeting. The name itself had been changed earlier in the day, after Omiko realized that making her club unisex might give Takaharu the idea that he could join her club and upstage her. It was this paranoia of losing to him that drove Omiko to do an extra hour of early-morning paperwork, in order for Gamagoori to approve her new club name and membership requirements. The annoyance of having to do all that work stayed with Omiko all day however, and it was at this time that she decided she would take it out on the newbloods brave enough to try and join her Girls"" Tennis Club. Omiko grimaced through her shark teeth, racket in hand as she surveyed the girls who seemed to think they were good enough to be a part of her tennis club. Her words had done their job from the moment they came out of their mouth, and Omiko could see their results from the scared looks in the eyes of the No-Star girls. A few of them were even shaking. With her day having already gone bad enough, this sudden place of power over others actually cheered Omiko up, if only somewhat. ""Let me tell you something about tennis."" Omiko began, before lifting up her racket and slamming down hard on the green ball in her other hand. As the No-Stars watched, the tennis ball slammed into the outside wall surrounding Omiko""s court, breaking the concrete as it made an audible crack. A few of the girls gasped at the sight, but Omiko seemed disaffected as she pulled the ball from the hole. She showed the marred object to her prospective club members as she made her point. ""In tennis, in REAL tennis, with REAL players: people DIE.",967934
773,"That""s so going to put somebody at ease. I mean who wouldn""t be content knowing that their friend is freaking out? ""What? Is she alright,"" Norm replied worriedly, as the sleep quickly wore away from his voice. Within a second""s flat he was down on the floor beside me. Placing a rough hand on my shoulder, he asked, ""How long has she been like this?"" ""Not long. She woke up about half an hour, or so ago,"" Jake shrugged, before going on to say, ""It""s just nerves Norm. I saw a lot of marines get like this right before a big fight. Well, not particularly like this, but still."" Taking deep breaths, I managed to get myself back into control much slower than I would have liked; but I did nonetheless. Wiping my nose with the back of my hand, I carefully sat up. ""Here,"" Norm said, as he handed me an old worn out washcloth. ""Thanks,"" I mumbled, as I cleared my face of its stray tears. Breathing in deeply a couple more times, I finally spoke, ""Sorry ""bout that. I guess things just sort of hit me, you know?"" ""Don""t worry about it, sis,"" Jake said, leaning forward to place a brotherly kiss on top my forehead, ""I would be worried if you didn""t freak out."" With a few forced chuckles at their strained smiles, I muttered, ""Yeah, then I would really be calling myself a nut. I may act like I""m a super strong woman, but as you have just seen...I""m not as strong as I want to believe."" ""No one can be superman..."" but seeing the harsh look on my face, Norm changed it quickly to, ""...I mean no one can be superwoman, Mia. We all have doubts, and we all feel something. There""s not a soul who can deny that they have a weakness."" Nodding, my eyes glanced over to the still slumbering Trudy. Her mouth was hanging open ever so slightly, and very unwomanly snores were drifting out from within. Giving a quite laugh, I retorted, ""Maybe all except for Trudy. She""s sleeping like a baby."" The two men gave their friend/girlfriend a glance, and shook their heads in disbelief. ""That woman has to be a man in disguise,"" Jake muttered, earning a giggle from me. ""Nope, I don""t think so Jake. Trust me, I would know,"" Norm said with a lordly wiggle of his eyebrows. ""Okay, EW! You""re sick, man."" I couldn""t help but to laugh at the expression on my brother""s face. It was absolutely priceless as he sat there making gagging noises. It was like the three of us were teenagers again; joking as if we didn""t have a care in the world. Sadly though, we were so loud we actually managed to wake up the sleeping beast. ""God! Would you three knock it off? Some of us are actually trying to get some sleep for tomorrow,"" Trudy hissed from her makeshift bed. Looking between one another, wondering if we had been caught in the act, we couldn""t stop the laughter that burst forth from our lungs. ""Damn it, what is up with you three? Can""t you all sleep like normal people,"" Trudy grumbled, as she slowly got up. ""Sorry Trudy, we""re just trying to blow off some steam,"" I said, as I tried to cover for our asses; like always.",806976
2667,"He couldn""t afford to break, and being around a man who had gone over an edge he spent his life in the after flirting with as much as a certain resident was making this the kind of dangerous mission he once loved. So Owen Hunt watched what he drank. After the Chief followed Shepherd inside the trailer, Owen knew it was time to leave. He looked at his watch for the first time since arriving and was immediately brought to his feet by the time. He""d already missed Sloan""s face transplant, and would soon miss Cristina""s solo surgery as well. Damn it. He looked at his drinking buddy for the past few hours, she was looking out into the woods with the dazed stupor only the drunk and high could pull off. ""Torres."" She kept the trance, so he took her arm. ""Callie, let""s go, give these two some space."" She looked at him now, though it took a few moments for her eyes to focus. ""What? I""m far too drunk to drive."" He began pulling her up and walking her to his truck. ""I""m not. I""ll give you a ride back to the hospital."" She frowned at her car, which had made him chuckle when he first pulled up. ""But my car..."" Owen opened the passenger door. ""I""ll be nice and give you a ride again tomorrow when you""re sober and you can pick it up."" He helped her into the truck like a true gentleman and she smiled at him. ""No wonder Yang""s sleeping with you."" Owen sighed. He tried to explain why he was naked in Cristina""s bed that morning without revealing any details, but it was useless. He closed her door and walked to the driver""s street. ""Bailey is looking at us."" Callie leaned in closer to the glass, trying to get a better look. ""Do you think that is a glare? I think she""s pissed."" ""I""m not looking at Bailey."" Callie glanced over at Owen, and it was true. His eyes were trained only on Cristina. If it hadn""t been for the booze, Callie might have been able to repress the eye roll, but really she should""ve known, it was nothing new. She looked at Bailey again. Bailey""s attention was no longer on the gallery; she was looking at Cristina with an unreadable look on her face. Alex looked like someone had just told him his favorite puppy hadn""t gone to a special puppy farm after all. Callie wondered what was going on down there. She wasn""t used to this perspective when it came to surgery. She felt like a spectator at a sporting event. As the surgery continued Callie began to grow bored. Why were they here? Cristina was rocking it out. Of course she was, she was Cristina freaking Yang. Her first solo surgery could""ve been nothing but a success. Callie knew it. Cristina knew it. Owen knew it. Everyone knew it. So, Callie did the same thing she did when she got bored at a sporting event. She rose from the seat she""d taken and began cheering and shouting. ""Go Cristina! Woah! Rock it out, Yang!"" Owen wasn""t watching Cristina anymore. He was trying to quiet Callie and to get her to sit back down again. Callie caught sight of Bailey""s eyes; she was definitely glaring now.",1497577
3634,"I started to put my jacket on, but the rich blackness of the fabric brought out the pale pink petals which still clung to me. ""Oh, wow, Arima-kun! Cherry blossoms!"" one of my classmates exclaimed. I smiled at him, though I didn""t really feel it. My lunch had been one of those few private times I could steal for myself, and I resented their intrusion into it. I decided to make the best of it, since I knew that they wouldn""t leave me alone. After all, it was part of being who I was- people wanted to be part of me, and have me with them always. I explained where I had been, and two of my classmates nearly started crying. ""You should""ve invited us along!"" they chastised me. ""Sorry, sorry,"" I apologized, waving my hands defensively and smiling, even though I didn""t feel an ounce of regret. I had enjoyed my time alone. ""Then how about we have a flower viewing with the class?"" ""Let""s go all out!"" ""Oh, good idea!"" ""And bring sweets and stuff!"" I listened to them ramble for a minute, a stone weighing my stomach down. It seemed that no place I had could be truly private. Sooner or later, it was invaded by others, seeking to share in the glow they thought they perceived from me. I knew what was coming, and sure enough... ""Hey, Arima! You come along, too!"" ""Right!"" I gave the gracious smile they expected of me. ""Yeah, sure,"" I agreed easily enough. ""If Arima-kun is going, then so am I!"" I heard a girl squeal, and soon enough, all the girls were clamoring to join our expedition, which I assumed had been the other boys"" plan. Girls tended to follow me wherever I went, and that made other guys want to be around me. I hated it, since it made me feel like a thing, rather than a person. Still, I maintained the smile they expected of me. The final bell came soon enough, and I headed to the science lab for clean up duty. I nodded at people on the way, but I noticed that no one was eager to help me with my punishment, not that I minded. I was amused, though. Fair-weather friends... it seemed the school was full of them. I rolled up my sleeves and turned to the sink full of used lab equipment. Cleaning the science lab wasn""t anyone""s favorite duty. It required attention and precision, and slovenliness wasn""t tolerated in the least. At the beginning of term, the sensei had given lectures about reagents being left in the bottom of beakers, and the damage that it could cause -- and the cost of replacement that students would be expected to pay. I had never broken one, but my friends had broken everything from stirrers to Bunsen burners, though I had no idea how they had managed that. Still, no matter how careful I was, the beakers and vials rattled as I shifted them in the sink, cleaning them in the sudsy liquid. I heard the door open, but I ignored it, assuming it was a student who had forgotten something, or the sensei. To my intense surprise, a light feminine voice came from behind me. ""Arima-kun!"" I turned to see Miyazawa Yukino standing there, barrettes in her reddish brown hair and a pleasant expression on her pretty face.",1112924
1206,"everyone whispered fiercely, their voices coming out as high-pitched whines instead. ""I want a good fettucini Alfredo,"" Mouth continued. ""A bottle of fettucine, 1981."" The old woman seemed to be fed up with Mouth""s act already. She grabbed his face and squeezed, so that he puckered like a fish. ""The only thing we serve is tongue,"" she said, and squeezed harder so that Mouth""s tongue came out. Then she pulled out a switchblade. Mouth""s eyes widened and he tried to squirm away. Everyone yelped and covered their mouths. ""You kids like tongue?"" the woman asked. ""Mmm-mmm! Mmmmm!"" they shook their heads wildly. The woman laughed evilly and released Mouth. ""That all?"" she asked, walking towards them. The group backed away, each whimpering in fear. ""Siddown!"" she commanded. Everyone shrieked and fell into a chair, except Chunk, who fell to the floor. ""Are you all right, Chunk?"" Data asked, peering down at the floor at his friend. The woman disappeared into the kitchen. ""Hey, guys,"" Data addressed his friends, ""What happened to those two guys who were in polyester before us? What happened to them?"" Chunk started to say something, but he was gasping too hard. ""What is it? Spit it out,"" Mikey said. ""You guys, if we don""t get out of here soon, there""s gonna be some kind of hostage crisis-"" Mikey shushed him, as his voice was beginning to rise a few octaves. ""Out in the garage, ORV, four-wheel drive- bullet holes the size of matzo ba-"" Mouth clapped a hand over Chunk""s mouth. ""Chunk, I""m starting to O.D. on all your bullshit stories,"" he told him. Suddenly, there was a clink of glass on the table. Everyone fell back, startled. The woman had reappeared. ""Here""s your water."" ""Thank you, ma""am,"" everyone replied dutifully, taking one. ""Thank you sir,"" Mikey said. Elle kicked him under the table with her good foot. ""Ma""am! I mean ma""am!"" Mikey said, his eyes watering in pain. The woman gave him the evil eye. ""This is supposed to be water?"" Mouth said, noting that the color of the mysterious liquid was brown. ""It""s wet, innit? Drink it!"" the woman commanded. ""Where""s the men""s room, please?"" Mikey asked, starting to squirm in his seat. ""Can""t you hold it?"" the woman snapped. ""No,"" Mikey said honestly. ""Mikey, this ain""t the kind of place you""d want to go to the bathroom in,"" Chunk said nervously. ""Why not?"" the woman asked loftily. ""Because they might have daddy longlegs in them,"" Chunk ad-libbed. ""But I gotta go to the bathroom!"" Mikey whined. Now he was dancing in his chair. Elle frowned. ""Like dead things, Mikey,"" Chunk hissed. ""Hey, Mikey, gotta go to the bathroom?"" Mouth said, pouring the drinks like it was a waterfall. ""Lady, please!"" Mikey begged. The woman hesitated. ""Downstairs, first door on the right,"" she finally said. ""Stay to the right!"" she added as Mikey jumped up from his chair and headed for the staircase. ""STAY TO THE RIGHT!"" she yelled again as he leapt over a chair. ""I know it""s to the right, thank you!"" Mikey""s voice echoed from the stairs. ""Kids,"" the woman muttered, and she disappeared into the kitchen again.",2855986
1913,"""You won""t leave me, will you?"" Greta walked behind his desk, letting her arms flow down his chest. Gentle lips flittered their way down his neck. ""I... could never do that to you."" His response held a subtle, gentle undertone to it. Learning to read behind the words on the page helped her to become even closer to the vastly older man before her. Despite the enormous age difference, their love was strong - though not always typical. A knock on the door interrupted them, Greta immediately taking a strong stance behind Gwendal as a lower caste servant entered the room. ""My Lady General Greta and Lord Gwendal, I have just received word that King Wolfram""s party has been successful in the negotiations dealing with the neighboring villages, and that they are now returning home."" The servant kept his body bowed toward his superiors. ""Were they successful?"" Gwendal asked. The servant boy answered swiftly with details, pride filling his voice. ""Yes, my Lord. Those villages are now under Shin Makoku""s control. There were no fatalities to our men. King Wolfram will arrive late this evening. He requests the family to join him for dinner as well."" ""Ah. You may return to your duties. Thank you."" No sooner had the soft click of the door echoed in the small room when Greta found her way draped back over Gwendal""s shoulders. Her hands ran down Gwendal""s arms, until they successfully entwined themselves in big, rough hands. ""Stop trying to work. I just got back myself, you know. I couldn""t wait so I went on ahead. The least you could do is greet me properly, Gwendal..."" +Continue+ Summary: [Sequel to Future Moon] After that last battle, Yuuri and Murata find themselves stuck on Earth. Months later, they make a final pact to make their way home. What they find is unimaginable consequences they didn""t expect to find. To watch you, to shield you or kill on demandThe choice he made we could not comprehend Somewhere on the outskirts of the New Shin Makoku territory,First Unit, Major General, Second in command, Greta... The swift, elegant movements of her sword could barely be seen by the naked eye. She was so quick, and her form practiced to perfection long ago - early every morning, for hours on end her focused routine would continue. Today was no different; the sun was just peaking over the horizon, and the front lines meant that she needed to pay constant attention to her surroundings. Greta never slept much anymore, but somehow that didn""t really matter. Once she picked up her sword, all her worries and stress would disappear, leaving her revitalized. Lately she had been working on the two handed sword style, a style Conrad never taught her. As the sun invaded her quiet dark contemplations, memories of why she was here in the first place started to once again haunt her during the day. By demon standards, even being half human, she was still very young. Although her body looked like that of a young, ignorant teenager her mind was sharper than ever. Sometimes bad things happen, and sometimes, recovery from such an event would be impossible.",583994
